Series Name,Series Code,Country Name,Country Code,Scale (Precision),1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Viet Nam,VNM,Unit (0.00),45057981854.81,47743817832.17,51871770980.84,56059239339.34,61014304826.64,66835362482.48,73077797034.13,79035160538.46,83591107164.25,87581401291.57,93525828108.84,99317782863.10,105595482130.71,112880581486.06,121387725604.57,130549157968.49,139658819217.11,149615800998.37,158086705343.28,166620063722.29,177322478338.40,188694468366.27,199081239731.69,210137237901.39,223632762207.56
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Indonesia,IDN,Unit (0.00),269915108912.61,288571594912.18,307321553097.31,327286415428.63,351963716551.49,380895160093.95,410674256276.22,429975448805.37,373533751956.06,376488874892.85,395012382597.56,409404526219.84,427825582126.16,448277224148.75,470829486219.90,497631790442.44,525006275302.52,558318040161.89,591893632243.07,619291626017.38,657835433773.52,698422460479.20,740537688618.41,781691320690.70,820828013230.59
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Malaysia,MYS,Unit (0.00),74627553679.51,81751102498.17,89014784403.71,97822746879.14,106834219205.05,117335045630.59,129071719045.02,138523307832.51,128328802476.72,136205126470.56,148271359064.95,149038923296.26,157073594223.93,166165798103.90,177437551536.37,186898768708.90,197336779111.68,209766600383.97,219902039818.78,216573759299.08,232654030399.23,244970531973.68,258378881826.47,270506469604.10,286755041078.03
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Thailand,THA,Unit (0.00),144044991708.44,156372737078.56,169012952179.51,182959758879.24,197591095927.87,213636116013.33,225710710647.58,219495596601.21,202739225305.46,212009086618.73,221454615181.94,229082063572.25,243168402250.20,260650370324.98,277043563911.35,288645146658.33,302984491694.59,319452158416.90,324964940636.73,322720673508.11,346967938038.27,349882927003.63,375224234353.84,385308369004.17,389101609925.93
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Philippines,PHL,Unit (0.00),107109108270.26,106641694746.42,107087061460.26,109423583330.15,114209405300.73,119491847401.13,126494485337.08,133055010091.64,132370986792.54,136800717247.31,142796015521.85,147150196386.03,152618672919.07,160382249186.08,170918125627.49,179365762735.54,188901594317.39,201216639993.90,209958471374.17,212999348337.29,228621785456.63,237442546234.97,253818843989.00,270952964501.39,288153024771.70
"International tourism, number of arrivals",ST.INT.ARVL,Viet Nam,VNM,Unit (0.00),,,,,,1351000.00,1607000.00,1716000.00,1520000.00,1782000.00,2140000.00,2330000.00,2628000.00,2429000.00,2928000.00,3477000.00,3583000.00,4229000.00,4236000.00,3747000.00,5050000.00,6014000.00,6848000.00,7572000.00,7874000.00
"International tourism, number of arrivals",ST.INT.ARVL,Indonesia,IDN,Unit (0.00),,,,,,4324000.00,5034000.00,5185000.00,4606000.00,4728000.00,5064000.00,5153000.00,5033000.00,4467000.00,5321000.00,5002000.00,4871000.00,5506000.00,6234000.00,6324000.00,7003000.00,7650000.00,8044000.00,8802000.00,9435000.00
"International tourism, number of arrivals",ST.INT.ARVL,Malaysia,MYS,Unit (0.00),,,,,,7469000.00,7138000.00,6211000.00,5551000.00,7931000.00,10222000.00,12775000.00,13292000.00,10577000.00,15703000.00,16431000.00,17547000.00,20973000.00,22052000.00,23646000.00,24577000.00,24714000.00,25033000.00,25715000.00,27437000.00
"International tourism, number of arrivals",ST.INT.ARVL,Thailand,THA,Unit (0.00),,,,,,6952000.00,7244000.00,7294000.00,7843000.00,8651000.00,9579000.00,10133000.00,10873000.00,10082000.00,11737000.00,11567000.00,13822000.00,14464000.00,14584000.00,14150000.00,15936000.00,19230000.00,22354000.00,26547000.00,24810000.00
"International tourism, number of arrivals",ST.INT.ARVL,Philippines,PHL,Unit (0.00),,,,,,1760000.00,2049000.00,2223000.00,2149000.00,2171000.00,1992000.00,1797000.00,1933000.00,1907000.00,2291000.00,2623000.00,2843000.00,3092000.00,3139000.00,3017000.00,3520000.00,3917000.00,4273000.00,4681000.00,4833000.00
Trade (% of GDP),NE.TRD.GNFS.ZS,Viet Nam,VNM,Unit (0.00),81.32,66.95,73.58,66.21,77.47,74.72,92.71,94.34,97.00,102.79,111.42,111.96,116.70,124.33,133.02,130.71,138.31,154.61,154.32,134.71,113.98,125.26,123.22,130.85,135.41
Trade (% of GDP),NE.TRD.GNFS.ZS,Indonesia,IDN,Unit (0.00),52.89,54.84,57.43,50.52,51.88,53.96,52.26,55.99,96.19,62.94,71.44,69.79,59.08,53.62,59.76,63.99,56.66,54.83,58.56,45.51,46.70,50.18,49.58,48.64,48.08
Trade (% of GDP),NE.TRD.GNFS.ZS,Malaysia,MYS,Unit (0.00),146.89,159.31,150.61,157.94,179.90,192.11,181.77,185.67,209.49,217.57,220.41,203.36,199.36,194.20,210.37,203.85,202.58,192.47,176.67,162.56,157.94,154.94,147.84,142.72,138.31
Trade (% of GDP),NE.TRD.GNFS.ZS,Thailand,THA,Unit (0.00),75.78,78.47,77.95,77.75,81.25,89.76,84.27,95.05,100.24,100.71,121.30,120.27,114.97,116.69,127.41,137.85,134.09,129.87,140.44,119.27,127.25,139.68,137.67,132.46,130.91
Trade (% of GDP),NE.TRD.GNFS.ZS,Philippines,PHL,Unit (0.00),42.92,44.22,44.99,50.47,52.53,57.33,63.86,77.23,80.08,77.16,85.15,84.90,83.84,87.57,87.13,83.85,80.85,73.64,67.68,60.89,66.10,60.80,57.84,55.82,57.47
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Viet Nam,VNM,Unit (0.00),272.78,270.75,276.93,294.75,289.68,303.78,315.96,335.57,352.51,358.08,372.49,393.08,424.57,441.33,485.43,509.25,515.08,544.67,572.10,615.14,670.11,663.57,664.35,674.68,745.63
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Indonesia,IDN,Unit (0.00),461.48,477.03,489.76,534.33,524.02,574.76,587.22,595.39,567.58,587.05,585.79,591.13,606.32,597.28,634.75,637.33,643.62,628.60,632.51,674.89,700.28,712.64,704.58,678.84,702.47
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Malaysia,MYS,Unit (0.00),1188.82,1433.29,1542.60,1628.86,1579.98,1669.43,1804.84,2053.30,1902.76,1883.08,2102.39,2135.79,2154.46,2254.17,2371.20,2515.15,2472.13,2584.77,2678.82,2483.79,2529.59,2591.22,2587.43,2869.77,2879.92
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Thailand,THA,Unit (0.00),774.49,825.48,865.70,899.13,979.26,1052.28,1160.58,1166.80,1079.81,1138.85,1153.05,1174.20,1286.14,1379.29,1477.26,1508.44,1525.13,1569.87,1596.83,1578.76,1718.62,1704.82,1818.19,1943.92,1926.23
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Philippines,PHL,Unit (0.00),424.03,430.62,444.42,410.83,446.18,459.48,463.40,477.50,482.92,483.11,487.40,454.03,451.28,442.57,430.07,434.47,423.36,425.63,439.08,420.72,431.46,428.33,437.47,443.27,465.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 07/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
